epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9903,2.91213,4.30035,4.07605,0.00202,0.75,0.01825,0.00479,2.48224,3.22642,3.99521,0.0002737,0.0002737,0.0002737
2,76.0771,2.31656,3.77006,3.32315,0.00344,1,0.13398,0.04835,1.81737,3.02827,2.98354,0.000545908,0.000545908,0.000545908
3,108.077,1.59467,2.99108,2.43343,0.19846,0.74352,0.26799,0.1776,1.09628,2.00589,2.13767,0.000812618,0.000812618,0.000812618
4,140.84,1.28036,2.52839,1.99011,0.21538,0.84688,0.34615,0.24031,1.17348,1.90686,2.05461,0.00080826,0.00080826,0.00080826
5,174.248,1.03788,2.19838,1.71103,0.26293,0.81562,0.30918,0.24328,0.73285,1.81282,1.60932,0.000800013,0.000800013,0.000800013
6,208.179,0.90267,1.97644,1.56549,0.43654,0.7116,0.60306,0.51658,0.54535,1.36833,1.53662,0.000791767,0.000791767,0.000791767
7,241.522,0.82831,1.82213,1.45866,0.44192,0.69688,0.60155,0.50399,0.55199,1.35639,1.43342,0.00078352,0.00078352,0.00078352
8,274.93,0.76518,1.68659,1.41128,0.57772,0.8264,0.71325,0.62734,0.54472,1.18348,1.40673,0.000775273,0.000775273,0.000775273
9,305.911,0.73785,1.54138,1.36463,0.60722,0.72127,0.76648,0.68168,0.49876,1.0811,1.31687,0.000767026,0.000767026,0.000767026
10,338.507,0.6764,1.40749,1.31187,0.62102,0.91123,0.79442,0.71484,0.4894,0.984,1.27569,0.00075878,0.00075878,0.00075878
11,371.45,0.6442,1.36636,1.28663,0.44683,0.60602,0.50972,0.43665,0.56651,1.60494,1.33576,0.000750533,0.000750533,0.000750533
12,404.485,0.62353,1.25918,1.24999,0.38376,0.66381,0.49413,0.45237,0.415,1.976,1.20841,0.000742286,0.000742286,0.000742286
13,437.531,0.62145,1.20408,1.23538,0.70391,0.80279,0.85456,0.77594,0.45533,0.91647,1.17466,0.00073404,0.00073404,0.00073404
14,470.826,0.59035,1.11386,1.21457,0.92077,0.85071,0.93264,0.85754,0.42947,0.68932,1.15875,0.000725793,0.000725793,0.000725793
15,504.722,0.53292,1.03078,1.18572,0.53073,0.76139,0.7196,0.67034,0.37997,1.4174,1.12127,0.000717546,0.000717546,0.000717546
16,537.746,0.52098,1.00548,1.1717,0.39307,0.6198,0.60869,0.55984,0.37473,1.97177,1.13188,0.000709299,0.000709299,0.000709299
17,570.247,0.52908,1.03432,1.17296,0.64379,0.75523,0.80648,0.75621,0.36666,1.16452,1.08487,0.000701053,0.000701053,0.000701053
18,605.024,0.50895,0.94586,1.15586,0.84254,0.95729,0.96757,0.92442,0.33022,0.58286,1.05516,0.000692806,0.000692806,0.000692806
19,639.051,0.50915,0.88281,1.14404,0.84121,0.95939,0.9771,0.92348,0.37285,0.52773,1.06544,0.000684559,0.000684559,0.000684559
20,673.659,0.50532,0.87499,1.14327,0.82916,0.8899,0.93974,0.90288,0.32049,0.62983,1.05173,0.000676313,0.000676313,0.000676313
21,708.466,0.46242,0.81601,1.12257,0.89633,0.94921,0.98145,0.95011,0.28661,0.48585,1.00952,0.000668066,0.000668066,0.000668066
22,743.184,0.46982,0.8198,1.12609,0.57969,0.84058,0.78716,0.75533,0.32318,1.16212,1.05222,0.000659819,0.000659819,0.000659819
23,776.663,0.45417,0.78982,1.11323,0.64561,0.80211,0.76982,0.73145,0.34777,1.09441,1.06818,0.000651573,0.000651573,0.000651573
24,811.239,0.43143,0.78388,1.10065,0.84228,0.92803,0.9464,0.91761,0.29622,0.56306,1.02525,0.000643326,0.000643326,0.000643326
25,844.611,0.44329,0.77137,1.10523,0.89468,0.93532,0.97447,0.95665,0.22749,0.48532,0.9536,0.000635079,0.000635079,0.000635079
26,877.135,0.4516,0.73637,1.09761,0.50458,0.68332,0.68368,0.65256,0.28605,1.81739,1.01375,0.000626832,0.000626832,0.000626832
27,910.222,0.43614,0.73177,1.09182,0.92525,0.92882,0.97201,0.93839,0.30084,0.42898,0.99901,0.000618586,0.000618586,0.000618586
28,945.119,0.44872,0.73441,1.10254,0.68734,0.81727,0.84182,0.81426,0.2901,0.94512,0.998,0.000610339,0.000610339,0.000610339
29,979.789,0.42288,0.66676,1.0772,0.90661,0.9565,0.9858,0.96938,0.23203,0.44285,0.94724,0.000602092,0.000602092,0.000602092
30,1014.91,0.42267,0.63954,1.07172,0.96644,0.97964,0.98971,0.96963,0.24025,0.32693,0.96278,0.000593846,0.000593846,0.000593846
31,1050.9,0.42469,0.63974,1.07437,0.7145,0.81181,0.8447,0.81842,0.30736,0.79472,0.96213,0.000585599,0.000585599,0.000585599
32,1086.73,0.41517,0.66211,1.06884,0.93775,0.95859,0.98879,0.96966,0.23858,0.35943,0.94805,0.000577352,0.000577352,0.000577352
